Rank,Country (or dependent territory),Population,Date,"% of world
population",Source,,
1,Samoa,1530,10/24/2014,17.50%,Population clock,WSM,null
2,Jersey,14142,10/24/2014,19%,Official population clock,JEY,null
3,Jamaica,4,10/24/2014,4.43%,Official population clock,JAM,
4,Slovakia,1,7/1/2014,3.50%,Official estimate,SVK,null
5,Saudi Arabia,106,10/24/2014,2.83%,Official population clock,SAU,null
6,Spain,1109,7/1/2014,2.61%,Official annual projection,ESP,null
7,Japan,24,7/1/2014,2.48%,UN projection[6],JPN,null
8,Philippines,39,10/24/2014,2.18%,Official population clock,PHL,null
9,Uruguay,4844,8/1/2014,2.03%,Official estimate,URY,null
10,Montenegro,13,10/1/2014,1.77%,Monthly official estimate,MNE,null
11,Latvia,1379,7/1/2014,1.66%,Official projection,LVA,null
12,Pakistan,3,10/24/2014,1.40%,Official population clock,PAK,null
13,Malta,671,7/1/2013,1.25%,Official estimate,MLT,null
14,El Salvador,228,7/1/2014,1.22%,Official projection,SLV,null
15,Turks and Caicos Islands,12,10/24/2014,1.21%,Official population clock,TCA,null
16,Finland,63,12/31/2013,1.12%,Official estimate,FIN,null
17,Guatemala,1113,10/24/2014,1.08%,Official population clock,GTM,null
18,Cuba,11,12/31/2013,1.07%,Annual official estimate,CUB,null
19,Paraguay,126,7/1/2014,0.96%,UN projection,PRY,null
20,Haiti,8,10/1/2014,0.92%,Monthly official estimate,HTI,null
21,Libya,2,7/1/2014,0.90%,Official estimate,LBY,null
22,Lesotho,1,7/1/2013,0.89%,Annual official estimate,LSO,
23,Belarus,16,4/30/2014,0.84%,Monthly official estimate,BLR,null
24,South Africa,106,7/1/2014,0.75%,Official estimate,ZAF,null
25,Switzerland,36634,3/29/2014,0.71%,Preliminary 2014 census result,CHE,null
26,Liberia,1,7/1/2014,0.70%,Official projection,LBR,
27,Trinidad and Tobago,6,10/24/2014,0.67%,Official population clock,TTO,null
28,Kuwait,60,7/1/2014,0.66%,Official Projection,KWT,null
29,Monaco,3103,1/1/2014,0.63%,Annual official estimate,MCO,
30,Belize,1304,8/1/2014,0.60%,Monthly official estimate,BLZ,null
31,Kenya,25,7/1/2014,0.59%,Official annual projection,KEN,null
32,Denmark,14,7/1/2013,0.58%,Annual official estimate,DNK,null
33,India,20,1/1/2014,0.54%,Official estimate,IND,null
34,Tanzania,3,12/31/2013,0.53%,Official estimate,TZA,null
35,Hungary,86,7/1/2014,0.52%,Official annual projection,HUN,null
36,Bolivia,93,7/1/2014,0.51%,Annual official estimate,BOL,null
37,Malaysia,36,7/1/2014,0.50%,Official annual projection,MYS,null
38,Thailand,956,7/1/2014,0.49%,Official estimate,THA,null
39,Niue,326,10/24/2014,0.46%,Official population clock,NIU,null
40,Angola,10,7/1/2014,0.43%,Official annual projection,AGO,null
41,Gibraltar,2007,7/1/2014,0.43%,Official annual projection,GIB,null
42,Cook Islands,1,1/1/2014,0.42%,Official estimate,COK,null
43,Puerto Rico,1,10/24/2014,0.42%,Official population clock,PRI,null
44,Yemen,1,6/30/2014,0.42%,Official annual projection,YEM,null
45,Djibouti,1,7/1/2014,0.38%,Official annual projection,DJI,null
46,Liechtenstein,2043,6/22/2011,0.37%,Final 2011 census result,LIE,null
47,Dominica,62,7/1/2013,0.36%,Official estimate,DMA,null
48,Brazil,1326,7/1/2014,0.36%,Official estimate,BRA,null
49,Iceland,15,7/1/2014,0.35%,Annual official projection,ISL,null
50,Barbados,32,7/1/2014,0.35%,UN projection,BRB,null
51,Mauritius,1200,5/16/2014,0.34%,Preliminary 2014 census result,MUS,null
52,China,3184,10/24/2014,0.33%,Official population clock,CHN,null
53,Brunei,1,9/30/2014,0.33%,Monthly official estimate,BRN,null
54,Saint Vincent and the Grenadines,6,7/1/2012,0.32%,Official estimate,VCT,null
55,Zambia,2,7/1/2014,0.31%,UN projection[13],ZMB,null
56,Ukraine,273,7/1/2012,0.30%,Annual official estimate,UKR,null
57,Tunisia,4,7/1/2012,0.28%,Official estimate,TUN,null
58,Singapore,4051,3/21/2012,0.28%,Preliminary 2012 census result,SGP,null
59,Mexico,64,1/1/2014,0.28%,Annual official estimate,MEX,null
60,Iran,4,7/1/2014,0.25%,Official annual projection,IRN,null
61,Egypt,38,9/1/2014,0.24%,Monthly official estimate,EGY,null
62,Czech Republic,33,7/1/2013,0.24%,Official estimate,CZE,null
63,Morocco,41,12/10/2012,0.24%,Preliminary 2012 census result,MAR,null
64,Vanuatu,4,10/24/2014,0.23%,Official population clock,VUT,null
65,Canada,345,10/24/2014,0.22%,Official population clock,CAN,null
66,CĂ´te d'Ivoire,19,6/30/2014,0.22%,Official estimate,CIV,null
67,Cyprus,3556,7/1/2014,0.22%,Official annual projection,CYP,null
