1,China,1367470000,7/1/2014,19%,Official population clock,null,null
2,India,1261420000,7/1/2014,17.50%,Population clock,null,null
3,United States,318964000,7/1/2014,4.43%,Official population clock,null,null
4,Indonesia,252164800,7/1/2014,3.50%,Official estimate,null,null
5,Brazil,203337000,7/1/2014,2.83%,Official population clock,null,null
6,Pakistan,188020000,7/1/2014,2.61%,Official annual projection,null,null
7,Nigeria,178517000,7/1/2014,2.48%,UN projection[6],null,null
8,Bangladesh,157193000,7/1/2014,2.18%,Official population clock,null,null
9,Russian Federation,146149200,7/1/2014,2.03%,Official estimate,null,null
10,Japan,127090000,7/1/2014,1.77%,Monthly official estimate,null,null
11,Mexico,119713203,7/1/2014,1.66%,Official projection,null,null
12,Philippines,100440100,7/1/2014,1.40%,Official population clock,null,null
13,Viet Nam,89708900,7/1/2014,1.25%,Official estimate,null,null
14,Ethiopia,87952991,7/1/2014,1.22%,Official projection,null,null
15,Egypt,87371100,7/1/2014,1.21%,Official population clock,null,null
16,Germany,80767000,7/1/2014,1.12%,Official estimate,null,null
17,Iran,77838800,7/1/2014,1.08%,Official population clock,null,null
18,Turkey,76667864,7/1/2014,1.07%,Annual official estimate,null,null
19,Democratic Republic of Congo,69360000,7/1/2014,0.96%,UN projection,null,null
20,France,66048000,7/1/2014,0.92%,Monthly official estimate,null,null
21,Thailand,64871000,7/1/2014,0.90%,Official estimate,null,null
22,United Kingdom,64105654,7/1/2014,0.89%,Annual official estimate,null,null
23,Italy,60780377,7/1/2014,0.84%,Monthly official estimate,null,null
24,South Africa,54002000,7/1/2014,0.75%,Official estimate,null,null
25,Myanmar,51419420,7/1/2014,0.71%,Preliminary 2014 census result,null,null
26,South Korea,50423955,7/1/2014,0.70%,Official projection,null,null
27,Colombia,47832200,7/1/2014,0.67%,Official population clock,null,null
28,Tanzania,47421786,7/1/2014,0.66%,Official Projection,null,null
29,Spain,46507800,7/1/2014,0.63%,Annual official estimate,null,null
30,Ukraine,42981850,7/1/2014,0.60%,Monthly official estimate,null,null
31,Argentina,42669500,7/1/2014,0.59%,Official annual projection,null,null
32,Kenya,41800000,7/1/2014,0.58%,Annual official estimate,null,null
33,Algeria,38700000,7/1/2014,0.54%,Official estimate,null,null
34,Poland,38496000,7/1/2014,0.53%,Official estimate,null,null
35,Sudan,37289406,7/1/2014,0.52%,Official annual projection,null,null
36,Uganda,36600000,7/1/2014,0.51%,Annual official estimate,null,null
37,Iraq,36004552,7/1/2014,0.50%,Official annual projection,null,null
38,Canada,35540419,7/1/2014,0.49%,Official estimate,null,null
39,Morocco,33414900,7/1/2014,0.46%,Official population clock,null,null
40,Peru,30814175,7/1/2014,0.43%,Official annual projection,null,null
41,Saudi Arabia,30770375,7/1/2014,0.43%,Official annual projection,null,null
42,Uzbekistan,30492800,7/1/2014,0.42%,Official estimate,null,null
