entity,Country,count(n.countries),Source
node,,140,
node,Samoa,1530,WSM
node,Jersey,14142,JEY
node,Jamaica,4,JAM
node,Slovakia,1,SVK
node,Saudi Arabia,106,SAU
node,Spain,1109,ESP
node,Japan,24,JPN
node,Philippines,39,PHL
node,Uruguay,4844,URY
node,Montenegro,13,MNE
node,Latvia,1379,LVA
node,Pakistan,3,PAK
node,Malta,671,MLT
node,El Salvador,228,SLV
node,Turks and Caicos Islands,12,TCA
node,Finland,63,FIN
node,Guatemala,1113,GTM
node,Cuba,11,CUB
node,Paraguay,126,PRY
node,Haiti,8,HTI
node,Libya,2,LBY
node,Lesotho,1,LSO
node,Belarus,16,BLR
node,South Africa,106,ZAF
node,Switzerland,36634,CHE
node,Liberia,1,LBR
node,Trinidad and Tobago,6,TTO
node,Kuwait,60,KWT
node,Monaco,3103,MCO
node,Belize,1304,BLZ
node,Kenya,25,KEN
node,Denmark,14,DNK
node,India,20,IND
node,Tanzania,3,TZA
node,Hungary,86,HUN
node,Bolivia,93,BOL
node,Malaysia,36,MYS
node,Thailand,956,THA
node,Niue,326,NIU
node,Angola,10,AGO
node,Gibraltar,2007,GIB
node,Cook Islands,1,COK
node,Puerto Rico,1,PRI
node,Yemen,1,YEM
node,Djibouti,1,DJI
node,Liechtenstein,2043,LIE
node,Dominica,62,DMA
node,Brazil,1326,BRA
node,Iceland,15,ISL
node,Barbados,32,BRB
node,Mauritius,1200,MUS
node,China,3184,CHN
node,Brunei,1,BRN
node,Saint Vincent and the Grenadines,6,VCT
node,Zambia,2,ZMB
node,Ukraine,273,UKR
node,Tunisia,4,TUN
node,Singapore,4051,SGP
node,Mexico,64,MEX
node,Iran,4,IRN
node,Egypt,38,EGY
node,Czech Republic,33,CZE
node,Morocco,41,MAR
node,Vanuatu,4,VUT
node,Canada,345,CAN
node,Côte d'Ivoire,19,CIV
node,Cyprus,3556,CYP
node,Colombia,1811,COL
node,Sweden,53,SWE
node,Germany,173,DEU
node,Sudan,1,SDN
node,Curaçao,29,CUW
node,Hong Kong,37391,HKG
node,Bahamas,3791,BHS
node,Dominican Republic,477,DOM
node,American Samoa,1,ASM
node,Qatar,27,QAT
node,Romania,7,ROU
node,U.S. Virgin Islands,4,VIR
node,Peru,46,PER
node,Indonesia,28,IDN
node,Italy,340,ITA
node,Honduras,24,HND
node,Cameroon,1,CMR
node,Azerbaijan,8,AZE
node,United Arab Emirates,6998,ARE
node,Uzbekistan,5,UZB
node,Nigeria,21,NGA
node,Guam,1,GUM
node,Antigua and Barbuda,18,ATG
node,Mali,8,MLI
node,Estonia,862,EST
node,Central African Republic,1,CAF
node,Cayman Islands,106,CYM
node,Syria,4,SYR
node,Macao,25,MAC
node,Poland,157,POL
node,Oman,2,OMN
node,Australia,94,AUS
node,Norway,13,NOR
node,Botswana,6,BWA
node,France,278,FRA
node,South Korea,8,KOR
node,Anguilla,10,AIA
node,Argentina,267,ARG
node,Uganda,1,UGA
node,Sint Maarten (Dutch part),1,SXM
node,Ireland,307,IRL
node,United Kingdom,9460,GBR
node,Kazakhstan,4,KAZ
node,Luxembourg,10436,LUX
node,New Zealand,60,NZL
node,Isle of Man,4647,IMN
node,Malawi,1,MWI
node,Venezuela,720,VEN
node,Mozambique,3,MOZ
node,Slovenia,21,SVN
node,United States,2966,USA
node,Panama,14651,PAN
node,Chad,11,TCD
node,Ecuador,1768,ECU
node,Lithuania,29,LTU
node,Israel,647,ISR
node,Aruba,27,ABW
node,Albania,2,ALB
node,Sri Lanka,3,LKA
node,Saint Lucia,3,LCA
node,Croatia,3,HRV
node,Costa Rica,878,CRI
node,British Virgin Islands,951,VGB
node,Nicaragua,12,NIC
node,Bulgaria,50,BGR
node,Bermuda,140,BMU
node,Austria,23,AUT
node,Greece,214,GRC
node,Chile,139,CHL
node,Portugal,227,PRT
node,Belgium,58,BEL
node,Andorra,472,AND
node,Guernsey,7219,GGY
node,Lebanon,453,LBN
node,Jordan,1546,JOR
node,Seychelles,611,SYC
node,Macedonia,2,MKD
,Bahrain,12,BHR
,Namibia,2,NAM
,Senegal,3,SEN
,Ghana,3,GHA
,Georgia,1,GEO
,Zimbabwe,8,ZWE
,Turkey,99,TUR
,Saint Kitts and Nevis,187,KNA
,Taiwan,2673,TWN
,Bangladesh,2,BGD
,Moldova,2,MDA
,Russia,4167,RUS
,Viet Nam,7,VNM
,Netherlands,175,NLD
