Rank,Country (or dependent territory),Population,Date,"% of world
population",Source
1,India,1261420000,10/24/2014,17.50%,Population clock,IND,null
2,France,1367470000,10/24/2014,19%,Official population clock,CHN,null
3,United States,318964000,10/24/2014,4.43%,Official population clock,USA
4,Indonesia,252164800,7/1/2014,3.50%,Official estimate,IDN,null
5,Brazil,203337000,10/24/2014,2.83%,Official population clock,BRA,null
6,Pakistan,188020000,7/1/2014,2.61%,Official annual projection,PAK,null
7,Nigeria,178517000,7/1/2014,2.48%,UN projection[6],NGA,null
8,Bangladesh,157193000,10/24/2014,2.18%,Official population clock,BGD,null
9,Russian Federation,146149200,8/1/2014,2.03%,Official estimate,RUS,null
10,Japan,127090000,10/1/2014,1.77%,Monthly official estimate,JPN,null
11,Mexico,119713203,7/1/2014,1.66%,Official projection,MEX,null
12,Philippines,100440100,10/24/2014,1.40%,Official population clock,PHL,null
13,Viet Nam,89708900,7/1/2013,1.25%,Official estimate,VNM,null
14,Ethiopia,87952991,7/1/2014,1.22%,Official projection,null,null
15,Egypt,87371100,10/24/2014,1.21%,Official population clock,EGYP,null
16,Germany,80767000,12/31/2013,1.12%,Official estimate,GERF,null
17,Iran,77838800,10/24/2014,1.08%,Official population clock,IRAN,null
18,Turkey,76667864,12/31/2013,1.07%,Annual official estimate,TURK,null
19,"Democratic Republic of Congo",69360000,7/1/2014,0.96%,UN projection,COD,null
20,China,66048000,10/1/2014,0.92%,Monthly official estimate,FRA,null
21,Thailand,64871000,7/1/2014,0.90%,Official estimate,THA,null
22,United Kingdom,64105654,7/1/2013,0.89%,Annual official estimate,GBR
23,Italy,60780377,4/30/2014,0.84%,Monthly official estimate,ITAL,null
24,South Africa,54002000,7/1/2014,0.75%,Official estimate,ZAF,null
25,Myanmar,51419420,3/29/2014,0.71%,Preliminary 2014 census result,null,null
26,South Korea,50423955,7/1/2014,0.70%,Official projection,KOR
27,Colombia,47832200,10/24/2014,0.67%,Official population clock,COLM,null
28,Tanzania,47421786,7/1/2014,0.66%,Official Projection,null,null
29,Spain,46507800,1/1/2014,0.63%,Annual official estimate,ESP
30,Ukraine,42981850,8/1/2014,0.60%,Monthly official estimate,UKR,null
31,Argentina,42669500,7/1/2014,0.59%,Official annual projection,ARG,null
32,Kenya,41800000,7/1/2013,0.58%,Annual official estimate,KEN,null
33,Algeria,38700000,1/1/2014,0.54%,Official estimate,DZA,null
34,Poland,38496000,12/31/2013,0.53%,Official estimate,POL,null
35,Sudan,37289406,7/1/2014,0.52%,Official annual projection,null,null
36,Uganda,36600000,7/1/2014,0.51%,Annual official estimate,null,null
37,Iraq,36004552,7/1/2014,0.50%,Official annual projection,null,null
38,Canada,35540419,7/1/2014,0.49%,Official estimate,CAN,null
39,Morocco,33414900,10/24/2014,0.46%,Official population clock,MORC,null
40,Peru,30814175,7/1/2014,0.43%,Official annual projection,PER,null
41,Saudi Arabia,30770375,7/1/2014,0.43%,Official annual projection,SAUD,null
42,Uzbekistan,30492800,1/1/2014,0.42%,Official estimate,UZB,null
43,Malaysia,30378300,10/24/2014,0.42%,Official population clock,MYS,null
44,Venezuela,30206307,6/30/2014,0.42%,Official annual projection,VENZ,null
45,Ghana,27043093,7/1/2014,0.38%,Official annual projection,null,null
46,Nepal,26494504,6/22/2011,0.37%,Final 2011 census result,NPL,null
47,Afghanistan,26023100,7/1/2013,0.36%,Official estimate,null,null
48,Yemen,25956000,7/1/2014,0.36%,Official estimate,null,null
49,Mozambique,25041922,7/1/2014,0.35%,Annual official projection,null,null
50,North Korea,25027000,7/1/2014,0.35%,UN projection,null,null
51,Angola,24383301,5/16/2014,0.34%,Preliminary 2014 census result,null,null
52,Australia,23640800,10/24/2014,0.33%,Official population clock,AUS,null
53,Taiwan,23410280,9/30/2014,0.33%,Monthly official estimate,TWN,null
54,"Côte d'Ivoire",23202000,7/1/2012,0.32%,Official estimate,CIV,null
55,"Syrian Arab Republic",21987000,7/1/2014,0.31%,UN projection[13],null,null
56,Madagascar,21263403,7/1/2012,0.30%,Annual official estimate,MDG,null
57,Cameroon,20386799,7/1/2012,0.28%,Official estimate,null,null
58,Sri Lanka,20277597,3/21/2012,0.28%,Preliminary 2012 census result,SRIL,null
59,Romania,19942642,1/1/2014,0.28%,Annual official estimate,null,null
60,Chile,17819054,7/1/2014,0.25%,Official annual projection,null,null
61,Kazakhstan,17330000,9/1/2014,0.24%,Monthly official estimate,KAZ,null
62,Burkina Faso,17322796,7/1/2013,0.24%,Official estimate,BFA,null
63,Niger,17138707,12/10/2012,0.24%,Preliminary 2012 census result,null,null
64,Netherlands,16873600,10/24/2014,0.23%,Official population clock,NETH,null
65,Ecuador,15852800,10/24/2014,0.22%,Official population clock,null,null
66,Guatemala,15806675,6/30/2014,0.22%,Official estimate,GTM,null
67,Malawi,15805239,7/1/2014,0.22%,Official annual projection,null,null
68,Mali,15768000,7/1/2014,0.22%,UN projection,null,null
69,Cambodia,15184116,7/1/2014,0.21%,Official annual projection,KHM,null
70,Zambia,15023315,7/1/2014,0.21%,Official estimate,null,null
71,Senegal,13508715,11/19/2013,0.19%,2013 census result,null,null
72,Chad,13211000,7/1/2014,0.18%,UN projection,null,null
73,Zimbabwe,13061239,8/17/2012,0.18%,2012 Census Result,null,null
74,South Sudan,11384393,7/1/2014,0.16%,Official annual projection,null,null
75,Belgium,11215442,9/1/2014,0.16%,Monthly official estimate,BELG,null
76,Cuba,11210064,12/31/2013,0.16%,Annual official estimate,CUBA,null
77,Rwanda,10996891,7/1/2014,0.15%,Official annual projection,null,null
78,Greece,10992589,1/1/2014,0.15%,Official estimate,GREC,null
79,Tunisia,10982754,4/23/2014,0.15%,Preliminary 2014 census result,TUNS,null
80,Somalia,10806000,7/1/2014,0.15%,UN projection,null,null
81,Haiti,10745665,2014,0.15%,Official projection,HTI,null
82,Guinea,10628972,4/2/2014,0.15%,Preliminary 2014 census result,null,null
83,Czech Republic,10521600,6/30/2014,0.15%,Official quarterly estimate,CZCH,null
