CVIL1;CPAYS1;VIL1;CVIL2;CPAYS2;VIL2;NBPA2000;DKM
string;string;string;string;string;string;int;int
PUS;KORR;PUSAN;SEL;KORR;SEOUL **;6 039 947;337
FLL;UNST;FORT LAUDERDALE;NYC;UNST;NEW YORK **;5 523 884;1 728
HKG;HONG;HONG KONG;TPE;TAIW;TAIPEI;5 503 393;805
CHI;UNST;CHICAGO **;NYC;UNST;NEW YORK **;5 261 996;1 145
NYC;UNST;NEW YORK **;ORL;UNST;ORLANDO;5 101 102;1 514
LAX;UNST;LOS ANGELES **;NYC;UNST;NEW YORK **;5 064 576;3 953
BOS;UNST;BOSTON;NYC;UNST;NEW YORK **;5 009 576;306
CJU;KORR;CHEJU;SEL;KORR;SEOUL **;4 878 284;451
ATL;UNST;ATLANTA;NYC;UNST;NEW YORK **;4 875 728;1 214
NYC;UNST;NEW YORK **;WAS;UNST;WASHINGTON **;4 416 318;346
LON;UNKG;LONDON **;NYC;UNST;NEW YORK **;4 224 695;5 524
DUB;IRLD;DUBLIN;LON;UNKG;LONDON **;4 086 874;438
NYC;UNST;NEW YORK **;SFO;UNST;SAN FRANCISCO;3 947 664;4 130
BCN;SPAN;BARCELONA;MAD;SPAN;MADRID **;3 895 029;484
LAS;UNST;LAS VEGAS;LAX;UNST;LOS ANGELES **;3 692 288;379
NCE;FRAN;NICE;PAR;FRAN;PARIS **;3 396 575;674
AMS;NETH;AMSTERDAM;LON;UNKG;LONDON **;3 211 514;401
LAX;UNST;LOS ANGELES **;OAK;UNST;OAKLAND;3 132 878;543
MRS;FRAN;MARSEILLE;PAR;FRAN;PARIS **;2 989 006;628
PAR;FRAN;PARIS **;TLS;FRAN;TOULOUSE;2 982 057;574
NYC;UNST;NEW YORK **;PBI;UNST;PALM BEACH;2 935 854;1 661
LON;UNKG;LONDON **;PAR;FRAN;PARIS **;2 923 631;365
MIA;UNST;MIAMI **;NYC;UNST;NEW YORK **;2 879 834;1 760
LAS;UNST;LAS VEGAS;NYC;UNST;NEW YORK **;2 877 710;3 590
LAX;UNST;LOS ANGELES **;SFO;UNST;SAN FRANCISCO;2 788 222;544
CHI;UNST;CHICAGO **;LAX;UNST;LOS ANGELES **;2 715 870;2 820
BKK;THAI;BANGKOK;HKG;HONG;HONG KONG;2 664 922;1 712
ATL;UNST;ATLANTA;CHI;UNST;CHICAGO **;2 622 032;955
BOS;UNST;BOSTON;WAS;UNST;WASHINGTON **;2 609 158;653
CHI;UNST;CHICAGO **;DET;UNST;DETROIT **;2 608 366;356
NYC;UNST;NEW YORK **;TPA;UNST;TAMPA, FL **;2 579 310;1 621
CHI;UNST;CHICAGO **;MSP;UNST;MINNEAPOLIS;2 521 894;563
EDI;UNKG;EDINBURGH;LON;UNKG;LONDON **;2 514 905;543
LAX;UNST;LOS ANGELES **;PHX;UNST;PHOENIX;2 460 392;591
ATL;UNST;ATLANTA;WAS;UNST;WASHINGTON **;2 458 416;868
CHI;UNST;CHICAGO **;LAS;UNST;LAS VEGAS;2 370 694;2 452
LAX;UNST;LOS ANGELES **;SJC;UNST;SAN JOSE;2 319 872;495
GLA;UNKG;GLASGOW **;LON;UNKG;LONDON **;2 253 314;559
SEL;KORR;SEOUL **;TYO;JAPN;TOKYO **;2 243 452;1 178
KUL;MALB;KUALA LUMPUR;SIN;SING;SINGAPORE **;2 192 910;321
CHI;UNST;CHICAGO **;DAL;UNST;DALLAS **;2 192 674;1 291
BKK;THAI;BANGKOK;SIN;SING;SINGAPORE **;2 190 258;1 445
CHI;UNST;CHICAGO **;PHX;UNST;PHOENIX;2 155 066;2 332
CHI;UNST;CHICAGO **;ORL;UNST;ORLANDO;2 148 600;1 586
FRA;GERF;FRANKFURT;LON;UNKG;LONDON **;2 066 675;675
ATL;UNST;ATLANTA;DAL;UNST;DALLAS **;2 057 730;1 172
LAS;UNST;LAS VEGAS;PHX;UNST;PHOENIX;2 048 078;410
SAN;UNST;SAN DIEGO;SFO;UNST;SAN FRANCISCO;2 033 994;719
LAX;UNST;LOS ANGELES **;SEA;UNST;SEATTLE;2 017 004;1 537
HNL;UNST;HONOLULU;TYO;JAPN;TOKYO **;1 998 368;6 187
HKG;HONG;HONG KONG;SIN;SING;SINGAPORE **;1 992 173;2 580
CHI;UNST;CHICAGO **;SFO;UNST;SAN FRANCISCO;1 991 938;2 986
CHI;UNST;CHICAGO **;WAS;UNST;WASHINGTON **;1 972 974;940
CHI;UNST;CHICAGO **;DEN;UNST;DENVER;1 946 408;1 467
BWI;UNST;BALTIMORE;CHI;UNST;CHICAGO **;1 934 066;973
JKT;INDO;JAKARTA **;SIN;SING;SINGAPORE **;1 928 486;891
CHI;UNST;CHICAGO **;STL;UNST;ST LOUIS;1 889 872;417
OSA;JAPN;OSAKA **;PUS;KORR;PUSAN;1 882 578;575
HKG;HONG;HONG KONG;TYO;JAPN;TOKYO **;1 874 874;2 874
JED;SAUD;JEDDAH;RUH;SAUD;RIYADH;1 828 000;846
LAS;UNST;LAS VEGAS;SFO;UNST;SAN FRANCISCO;1 823 416;664
CHI;UNST;CHICAGO **;CLE;UNST;CLEVELAND;1 821 924;483
SJC;UNST;SAN JOSE;SNA;UNST;ORANGE COUNT;1 764 482;549
TPE;TAIW;TAIPEI;TYO;JAPN;TOKYO **;1 757 905;2 096
SEL;KORR;SEOUL **;TAE;KORR;TAEGU;1 745 358;264
BUR;UNST;BURBANK;OAK;UNST;OAKLAND;1 737 994;523
CHI;UNST;CHICAGO **;MKC;UNST;KANSAS CITY;1 731 112;662
SAN;UNST;SAN DIEGO;SJC;UNST;SAN JOSE;1 723 836;670
FRA;GERF;FRANKFURT;BER;GERF;BERLIN **;1 723 681;433
DEN;UNST;DENVER;NYC;UNST;NEW YORK **;1 721 958;2 609
HOU;UNST;HOUSTON **;NYC;UNST;NEW YORK **;1 712 874;2 286
ATL;UNST;ATLANTA;PHL;UNST;PHILADELPHIA;1 712 274;1 072
ATL;UNST;ATLANTA;BOS;UNST;BOSTON;1 710 154;1 520
CJU;KORR;CHEJU;PUS;KORR;PUSAN;1 697 282;306
LON;UNKG;LONDON **;MAN;UNKG;MANCHESTER;1 670 395;248
LAX;UNST;LOS ANGELES **;SMF;UNST;SACRAMENTO;1 647 314;580
LON;UNKG;LONDON **;MIL;ITAL;MILANO **;1 646 345;965
SEA;UNST;SEATTLE;SFO;UNST;SAN FRANCISCO;1 639 308;1 093
LON;UNKG;LONDON **;ROM;ITAL;ROMA **;1 637 769;1 448
